Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2304,Total,4 or more Bedrooms,500,540,555,s,140,-7.69%,11.34%,-8.33%,-42.11%
2304,House,Total,415,460,510,95,1285,4.55%,4.55%,-21.49%,-22.13%
2304,House,Bedsitter,-,-,-,-,-,-,-,-,-
2304,House,1 Bedroom,-,-,-,-,58,-,-,-,-
2304,House,Not Specified,-,-,-,-,s,-,-,-,-
2304,House,2 Bedrooms,398,445,481,s,322,5.33%,15.58%,-28.57%,-20.00%
2304,House,3 Bedrooms,440,480,510,55,736,5.49%,6.67%,5.77%,-17.91%
2304,House,4 or more Bedrooms,500,540,555,s,135,-7.69%,11.34%,-8.33%,-42.11%
2304,Other,Total,193,235,235,47,304,4.44%,-21.67%,17.50%,176.47%
2304,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2304,Other,1 Bedroom,188,225,235,43,129,0.00%,32.35%,16.22%,514.29%
2304,Other,Not Specified,-,-,-,-,103,-,-,-,-
2304,Other,2 Bedrooms,-,-,-,-,38,-,-,-,-
2304,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2304,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2304,Townhouse,Total,440,450,510,s,179,-3.74%,11.80%,90.00%,-26.92%
2304,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2304,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2304,Townhouse,2 Bedrooms,-,-,-,-,88,-,-,-,-
2304,Townhouse,3 Bedrooms,-,-,-,-,78,-,-,-,-
2304,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2304,Flat/Unit,Total,259,330,370,43,597,3.13%,-2.94%,0.00%,13.16%
2304,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2304,Flat/Unit,1 Bedroom,235,269,305,s,255,1.58%,-0.30%,0.00%,11.11%
2304,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2304,Flat/Unit,2 Bedrooms,327,360,388,s,259,2.86%,-4.00%,-11.76%,25.00%
2304,Flat/Unit,3 Bedrooms,-,-,-,-,66,-,-,-,-
2304,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2305,Total,Total,350,460,578,99,1192,3.37%,2.22%,1.02%,-6.60%
2305,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2305,Total,1 Bedroom,248,298,325,s,167,2.59%,6.25%,157.14%,38.46%
2305,Total,Not Specified,-,-,-,-,65,-,-,-,-
2305,Total,2 Bedrooms,355,410,455,31,391,6.49%,8.61%,-8.82%,3.33%
2305,Total,3 Bedrooms,488,550,605,39,456,19.57%,13.40%,-4.88%,-13.33%
2305,Total,4 or more Bedrooms,-,-,-,-,108,-,-,-,-
2305,House,Total,450,510,610,69,684,5.15%,2.00%,6.15%,-1.43%
2305,House,Bedsitter,-,-,-,-,-,-,-,-,-
2305,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2305,House,Not Specified,-,-,-,-,s,-,-,-,-
2305,House,2 Bedrooms,400,450,460,s,150,0.00%,0.00%,41.67%,30.77%
2305,House,3 Bedrooms,495,550,613,36,399,19.57%,12.24%,-2.70%,-10.00%
2305,House,4 or more Bedrooms,-,-,-,-,105,-,-,-,-
2305,Other,Total,-,-,-,-,96,-,-,-,-
2305,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2305,Other,Not Specified,-,-,-,-,44,-,-,-,-
2305,Other,2 Bedrooms,-,-,-,-,33,-,-,-,-
2305,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2305,Townhouse,Total,-,-,-,-,79,-,-,-,-
2305,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2305,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2305,Townhouse,2 Bedrooms,-,-,-,-,41,-,-,-,-
2305,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2305,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2305,Flat/Unit,Total,298,325,355,s,333,-7.14%,1.56%,4.35%,-7.69%
2305,Flat/Unit,1 Bedroom,285,300,330,s,139,0.00%,7.14%,100.00%,9.09%
2305,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2305,Flat/Unit,2 Bedrooms,-,-,-,-,167,-,-,-,-
2305,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2305,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2306,Total,Total,365,380,418,s,190,1.33%,11.76%,0.00%,-15.38%
2306,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2306,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2306,Total,Not Specified,-,-,-,-,s,-,-,-,-
2306,Total,2 Bedrooms,-,-,-,-,s,-,-,-,-
2306,Total,3 Bedrooms,-,-,-,-,122,-,-,-,-
2306,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2306,House,Total,365,380,418,s,149,1.33%,12.59%,0.00%,-8.33%
2306,House,Bedsitter,-,-,-,-,-,-,-,-,-
2306,House,Not Specified,-,-,-,-,-,-,-,-,-
2306,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2306,House,3 Bedrooms,-,-,-,-,106,-,-,-,-
2306,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2306,Other,Total,-,-,-,-,s,-,-,-,-
2306,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2306,Other,Not Specified,-,-,-,-,s,-,-,-,-
2306,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2306,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2306,Townhouse,Total,-,-,-,-,s,-,-,-,-
2306,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2306,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2306,Flat/Unit,Total,-,-,-,-,-,-,-,-,-
2306,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2306,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2306,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2307,Total,Total,300,390,450,65,574,-1.89%,2.63%,4.84%,-25.29%
2307,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2307,Total,1 Bedroom,155,225,250,s,126,-10.00%,40.63%,-19.05%,-19.05%
2307,Total,Not Specified,-,-,-,-,s,-,-,-,-
2307,Total,2 Bedrooms,385,390,405,s,108,4.70%,2.63%,50.00%,-34.78%
2307,Total,3 Bedrooms,415,450,495,32,266,0.00%,2.27%,18.52%,-8.57%
2307,Total,4 or more Bedrooms,-,-,-,-,44,-,-,-,-
2307,House,Total,363,390,438,s,275,-11.36%,1.30%,0.00%,-28.12%
2307,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2307,House,Not Specified,-,-,-,-,-,-,-,-,-
2307,House,2 Bedrooms,-,-,-,-,50,-,-,-,-
2307,House,3 Bedrooms,385,425,448,s,161,-5.56%,8.97%,25.00%,-6.25%
2307,House,4 or more Bedrooms,-,-,-,-,40,-,-,-,-
2307,Other,Total,-,-,-,-,96,-,-,-,-
2307,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2307,Other,1 Bedroom,-,-,-,-,73,-,-,-,-
2307,Other,Not Specified,-,-,-,-,s,-,-,-,-
2307,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2307,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2307,Townhouse,Total,415,455,496,s,107,-7.14%,5.81%,33.33%,-25.93%
2307,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2307,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2307,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2307,Townhouse,3 Bedrooms,453,483,508,s,72,-2.53%,6.04%,16.67%,-12.50%
2307,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2307,Flat/Unit,Total,288,385,394,s,96,58.76%,13.24%,40.00%,16.67%
2307,Flat/Unit,1 Bedroom,-,-,-,-,34,-,-,-,-
2307,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2307,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2307,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2307,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2311,Total,Total,-,-,-,-,s,-,-,-,-
2311,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2311,Total,2 Bedrooms,-,-,-,-,-,-,-,-,-
2311,Total,3 Bedrooms,-,-,-,-,s,-,-,-,-
2311,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2311,House,Total,-,-,-,-,s,-,-,-,-
2311,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2311,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2311,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2311,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2312,Total,Total,-,-,-,-,81,-,-,-,-
2312,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2312,Total,Not Specified,-,-,-,-,-,-,-,-,-
2312,Total,2 Bedrooms,-,-,-,-,s,-,-,-,-
2312,Total,3 Bedrooms,-,-,-,-,33,-,-,-,-
2312,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2312,House,Total,-,-,-,-,67,-,-,-,-
2312,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2312,House,Not Specified,-,-,-,-,-,-,-,-,-
2312,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2312,House,3 Bedrooms,-,-,-,-,33,-,-,-,-
2312,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2312,Other,Total,-,-,-,-,-,-,-,-,-
2312,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2312,Flat/Unit,Total,-,-,-,-,-,-,-,-,-
2312,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2312,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2315,Total,Total,378,445,503,100,1595,8.54%,5.95%,-45.05%,-23.08%
2315,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2315,Total,1 Bedroom,-,-,-,-,86,-,-,-,-
2315,Total,Not Specified,-,-,-,-,47,-,-,-,-
2315,Total,2 Bedrooms,320,355,400,s,493,0.00%,4.41%,-62.12%,-39.02%
2315,Total,3 Bedrooms,420,470,500,52,658,9.30%,9.30%,-30.67%,10.64%
2315,Total,4 or more Bedrooms,521,565,598,s,308,8.65%,6.10%,-54.29%,-52.94%
2315,House,Total,404,475,553,48,719,6.74%,1.06%,-44.19%,-22.58%
2315,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2315,House,Not Specified,-,-,-,-,-,-,-,-,-
2315,House,2 Bedrooms,-,-,-,-,101,-,-,-,-
2315,House,3 Bedrooms,420,460,500,s,341,6.98%,7.60%,-35.90%,-10.71%
2315,House,4 or more Bedrooms,550,580,613,s,259,9.43%,7.41%,-51.72%,-51.72%
2315,Other,Total,-,-,-,-,102,-,-,-,-
2315,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2315,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2315,Other,Not Specified,-,-,-,-,s,-,-,-,-
2315,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2315,Other,3 Bedrooms,-,-,-,-,37,-,-,-,-
2315,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2315,Townhouse,Total,435,485,570,s,288,10.23%,7.78%,-29.03%,-4.35%
2315,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2315,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2315,Townhouse,2 Bedrooms,-,-,-,-,51,-,-,-,-
2315,Townhouse,3 Bedrooms,430,480,570,s,196,9.09%,6.67%,-16.00%,75.00%
2315,Townhouse,4 or more Bedrooms,-,-,-,-,36,-,-,-,-
2315,Flat/Unit,Total,290,340,418,s,486,-5.56%,0.00%,-52.38%,-31.82%
2315,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2315,Flat/Unit,1 Bedroom,-,-,-,-,65,-,-,-,-
2315,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2315,Flat/Unit,2 Bedrooms,296,335,395,s,315,-6.94%,-1.47%,-61.70%,-40.00%
2315,Flat/Unit,3 Bedrooms,-,-,-,-,84,-,-,-,-
2315,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2316,Total,Total,370,435,468,s,346,0.00%,-3.33%,-50.00%,-39.13%
2316,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2316,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2316,Total,Not Specified,-,-,-,-,-,-,-,-,-
2316,Total,2 Bedrooms,-,-,-,-,43,-,-,-,-
2316,Total,3 Bedrooms,-,-,-,-,174,-,-,-,-
2316,Total,4 or more Bedrooms,-,-,-,-,99,-,-,-,-
2316,House,Total,-,-,-,-,220,-,-,-,-
2316,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2316,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2316,House,3 Bedrooms,-,-,-,-,101,-,-,-,-
2316,House,4 or more Bedrooms,-,-,-,-,87,-,-,-,-
2316,Other,Total,-,-,-,-,s,-,-,-,-
2316,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2316,Other,Not Specified,-,-,-,-,-,-,-,-,-
2316,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2316,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2316,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2316,Townhouse,Total,-,-,-,-,66,-,-,-,-
2316,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2316,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2316,Townhouse,3 Bedrooms,-,-,-,-,56,-,-,-,-
2316,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2316,Flat/Unit,Total,-,-,-,-,31,-,-,-,-
2316,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2316,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2316,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2316,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2317,Total,Total,350,380,455,31,545,-15.56%,-8.98%,-29.55%,-38.00%
2317,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2317,Total,Not Specified,-,-,-,-,53,-,-,-,-
2317,Total,2 Bedrooms,350,358,381,s,106,-2.72%,-7.14%,50.00%,-20.00%
2317,Total,3 Bedrooms,-,-,-,-,253,-,-,-,-
2317,Total,4 or more Bedrooms,-,-,-,-,107,-,-,-,-
2317,House,Total,335,365,468,s,239,-24.74%,-13.10%,-41.67%,-39.13%
2317,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2317,House,Not Specified,-,-,-,-,-,-,-,-,-
2317,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2317,House,3 Bedrooms,-,-,-,-,107,-,-,-,-
2317,House,4 or more Bedrooms,-,-,-,-,96,-,-,-,-
2317,Other,Total,-,-,-,-,63,-,-,-,-
2317,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2317,Other,Not Specified,-,-,-,-,42,-,-,-,-
2317,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2317,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2317,Townhouse,Total,-,-,-,-,134,-,-,-,-
2317,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2317,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2317,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2317,Townhouse,3 Bedrooms,-,-,-,-,108,-,-,-,-
2317,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2317,Flat/Unit,Total,-,-,-,-,109,-,-,-,-
2317,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2317,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2317,Flat/Unit,2 Bedrooms,-,-,-,-,63,-,-,-,-
2317,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2317,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2318,Total,Total,450,505,550,64,649,16.09%,12.22%,36.17%,1.59%
2318,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2318,Total,Not Specified,-,-,-,-,s,-,-,-,-
2318,Total,2 Bedrooms,-,-,-,-,47,-,-,-,-
2318,Total,3 Bedrooms,420,450,480,s,264,4.65%,9.76%,16.00%,16.00%
2318,Total,4 or more Bedrooms,520,550,600,32,302,-6.78%,12.24%,113.33%,3.23%
2318,House,Total,450,505,550,64,572,12.22%,9.78%,60.00%,12.28%
2318,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2318,House,Not Specified,-,-,-,-,-,-,-,-,-
2318,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2318,House,3 Bedrooms,420,450,480,s,244,4.65%,7.14%,26.09%,26.09%
2318,House,4 or more Bedrooms,520,550,600,32,296,-6.78%,12.24%,113.33%,3.23%
2318,Other,Total,-,-,-,-,s,-,-,-,-
2318,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2318,Other,Not Specified,-,-,-,-,s,-,-,-,-
2318,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2318,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2318,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2318,Townhouse,Total,-,-,-,-,s,-,-,-,-
2318,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2318,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2318,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2318,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2318,Flat/Unit,Total,-,-,-,-,34,-,-,-,-
2318,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2318,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2318,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2319,Total,Total,380,415,450,42,644,9.21%,7.79%,-2.33%,-10.64%
2319,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2319,Total,Not Specified,-,-,-,-,s,-,-,-,-
2319,Total,2 Bedrooms,-,-,-,-,102,-,-,-,-
2319,Total,3 Bedrooms,379,395,420,s,345,3.95%,1.94%,0.00%,-14.29%
2319,Total,4 or more Bedrooms,450,473,494,s,167,2.72%,4.42%,55.56%,75.00%
2319,House,Total,380,420,450,41,511,8.39%,6.33%,28.13%,17.14%
2319,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2319,House,Not Specified,-,-,-,-,-,-,-,-,-
2319,House,2 Bedrooms,-,-,-,-,60,-,-,-,-
2319,House,3 Bedrooms,380,400,420,s,280,5.26%,1.27%,15.00%,4.55%
2319,House,4 or more Bedrooms,450,473,494,s,161,2.72%,3.85%,55.56%,100.00%
2319,Other,Total,-,-,-,-,s,-,-,-,-
2319,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2319,Other,Not Specified,-,-,-,-,-,-,-,-,-
2319,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2319,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2319,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2319,Townhouse,Total,-,-,-,-,40,-,-,-,-
2319,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2319,Townhouse,3 Bedrooms,-,-,-,-,33,-,-,-,-
2319,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2319,Flat/Unit,Total,-,-,-,-,76,-,-,-,-
2319,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2319,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2319,Flat/Unit,2 Bedrooms,-,-,-,-,35,-,-,-,-
2319,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2320,Total,Total,350,420,460,246,2934,7.69%,10.53%,-8.89%,-6.11%
2320,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2320,Total,1 Bedroom,240,285,285,s,188,14.00%,32.56%,19.05%,38.89%
2320,Total,Not Specified,-,-,-,-,148,-,-,-,-
2320,Total,2 Bedrooms,300,330,358,38,466,2.33%,0.00%,-5.00%,0.00%
2320,Total,3 Bedrooms,379,400,440,80,1052,5.26%,5.26%,-8.05%,-19.19%
2320,Total,4 or more Bedrooms,440,460,480,93,1070,2.22%,5.14%,-13.89%,-5.10%
2320,House,Total,400,440,470,185,2102,4.76%,10.00%,-8.87%,-5.13%
2320,House,Bedsitter,-,-,-,-,-,-,-,-,-
2320,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2320,House,Not Specified,-,-,-,-,79,-,-,-,-
2320,House,2 Bedrooms,300,330,350,s,167,0.00%,-1.49%,0.00%,58.33%
2320,House,3 Bedrooms,380,420,440,65,817,7.69%,10.53%,-8.45%,-18.75%
2320,House,4 or more Bedrooms,440,460,480,91,1011,2.22%,4.55%,-14.15%,-3.19%
2320,Other,Total,-,-,-,-,213,-,-,-,-
2320,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2320,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2320,Other,Not Specified,-,-,-,-,46,-,-,-,-
2320,Other,2 Bedrooms,-,-,-,-,39,-,-,-,-
2320,Other,3 Bedrooms,-,-,-,-,60,-,-,-,-
2320,Other,4 or more Bedrooms,-,-,-,-,45,-,-,-,-
2320,Townhouse,Total,360,380,393,s,159,2.70%,10.14%,33.33%,77.78%
2320,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2320,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2320,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2320,Townhouse,2 Bedrooms,-,-,-,-,58,-,-,-,-
2320,Townhouse,3 Bedrooms,-,-,-,-,85,-,-,-,-
2320,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2320,Flat/Unit,Total,285,300,350,38,460,0.00%,-6.25%,-5.00%,-7.32%
2320,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2320,Flat/Unit,1 Bedroom,285,285,285,s,141,16.33%,28.09%,18.75%,58.33%
2320,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2320,Flat/Unit,2 Bedrooms,300,315,358,s,202,1.61%,-1.56%,-7.69%,-29.41%
2320,Flat/Unit,3 Bedrooms,-,-,-,-,90,-,-,-,-
2320,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2321,Total,Total,388,440,478,135,1462,2.33%,3.53%,0.00%,9.76%
2321,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2321,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2321,Total,Not Specified,-,-,-,-,49,-,-,-,-
2321,Total,2 Bedrooms,330,340,354,s,136,3.03%,6.25%,-4.35%,83.33%
2321,Total,3 Bedrooms,380,420,430,42,387,0.00%,9.09%,2.44%,27.27%
2321,Total,4 or more Bedrooms,450,475,500,65,870,3.26%,7.95%,-2.99%,-10.96%
2321,House,Total,400,450,480,112,1190,0.00%,4.65%,4.67%,9.80%
2321,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2321,House,Not Specified,-,-,-,-,s,-,-,-,-
2321,House,2 Bedrooms,330,330,365,s,59,1.54%,-0.75%,60.00%,166.67%
2321,House,3 Bedrooms,390,420,430,s,260,0.00%,7.69%,-3.33%,20.83%
2321,House,4 or more Bedrooms,450,475,500,65,839,3.26%,7.95%,-1.52%,-7.14%
2321,Other,Total,-,-,-,-,72,-,-,-,-
2321,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2321,Other,Not Specified,-,-,-,-,s,-,-,-,-
2321,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2321,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2321,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2321,Townhouse,Total,350,398,416,s,86,10.42%,8.90%,33.33%,50.00%
2321,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2321,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2321,Townhouse,3 Bedrooms,-,-,-,-,52,-,-,-,-
2321,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2321,Flat/Unit,Total,-,-,-,-,114,-,-,-,-
2321,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2321,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2321,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2321,Flat/Unit,2 Bedrooms,-,-,-,-,47,-,-,-,-
2321,Flat/Unit,3 Bedrooms,-,-,-,-,47,-,-,-,-
2321,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2322,Total,Total,375,428,520,158,"1,461",0.59%,4.27%,24.41%,28.46%
2322,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2322,Total,1 Bedroom,-,-,-,-,37,-,-,-,-
2322,Total,Not Specified,-,-,-,-,68,-,-,-,-
2322,Total,2 Bedrooms,349,360,370,s,217,4.35%,8.27%,86.67%,133.33%
2322,Total,3 Bedrooms,380,400,420,45,566,2.56%,5.26%,2.27%,-25.00%
2322,Total,4 or more Bedrooms,486,530,558,70,570,6.00%,1.92%,14.75%,45.83%
2322,House,Total,400,460,530,125,1172,2.22%,9.52%,23.76%,15.74%
2322,House,Bedsitter,-,-,-,-,-,-,-,-,-
2322,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2322,House,Not Specified,-,-,-,-,40,-,-,-,-
2322,House,2 Bedrooms,348,360,360,s,82,20.00%,8.27%,1000.00%,83.33%
2322,House,3 Bedrooms,380,410,433,40,487,6.49%,7.89%,2.56%,-21.57%
2322,House,4 or more Bedrooms,498,530,560,67,554,6.00%,1.92%,11.67%,39.58%
2322,Other,Total,-,-,-,-,82,-,-,-,-
2322,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2322,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2322,Other,Not Specified,-,-,-,-,s,-,-,-,-
2322,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2322,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2322,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2322,Townhouse,Total,360,380,395,s,82,11.76%,5.56%,44.44%,85.71%
2322,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2322,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2322,Townhouse,2 Bedrooms,-,-,-,-,44,-,-,-,-
2322,Townhouse,3 Bedrooms,-,-,-,-,31,-,-,-,-
2322,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2322,Flat/Unit,Total,315,345,380,s,125,-1.43%,-1.43%,42.86%,185.71%
2322,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2322,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2322,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2322,Flat/Unit,2 Bedrooms,345,360,380,s,80,2.86%,4.35%,22.22%,450.00%
